Event no.,Year,Month,Day,Category,"County, region or country",Location,References
234,1983,2,1-2,4,"North Sea (England, Scotland), Irish Sea (England), English Channel (the Solent)","Lowestoft, Great Yarmouth, Redcar, Morecambe, Filey, Scarborough, Mablethorpe, Lossiemouth, Findhorn, Buckie, Portgordon, Kingston, Garmouth, Southampton, Cowes, Bembridge",Met Office (1983); Lamb (1991); Hickey (1997); Zong & Tooley (2003); Eden (2008); Ruocco et al. (2011); Haigh et al. (2015)
235,1984,4,16,1,Bristol Channel,Burnham on Sea,Zong & Tooley (2003)
236,1984,9,26,1,"North Sea (Thames), English Channel (the Solent)","Putney, Ryde, Cowes",Zong & Tooley (2003); Ruocco et al. (2011); Haigh et al. (2015)
237,1984,10,24-25,2,"Celtic Sea-River Camel (North Cornwall, England); English Channel (Dorset, the Solent)","Polmorla, Wadebridge, Padstow, Chapel Amble, Warsash (River Hamble), Fareham, Cowes",Davison et al. (1993); Ruocco et al. (2011)
238,1984,11,23-24,3,"Celtic Sea-River Camel (North Cornwall, England); English Channel (the Solent, Sussex)","Fowey, Padstow, Wadebridge, Sladesbridge, Perranporth; Lymington, Portsmouth, Southampton, Cowes, Gurnard, Ryde, Fareham, Hythe, Hayling Island, Langstone, Shoreham",Met Office (1984); Ruocco et al. (2011); Haigh et al. (2015)
239,1985,1,,1,English Channel-Carrick Roads (South West England),"Falmouth, Penryn",Cornwall Council (2011)
240,1985,11,9,1,North Sea (Scotland),Buckie,Hickey (1997)
241,1985,12,26,1,Celtic Sea-Bristol Channel,Avon Valley,Zong & Tooley (2003)
242,1985,1,22,2,North Sea (Scotland),"Portgordon, Portessie, Buckie Loch, Shelly Head ",Hickey (1997)
243,1985,4,6-8,3,"English Channel (Cornwall, the Solent, Sussex), Celtic Sea (North Cornwall)","Portsmouth, Hayling Island, Eastney and Elmer (near Bognor Regis), Portchester, Hythe, Wadebridge, Padstow, Newquay, Hayle, Mousehole, Flushing, Mevagissey, St Blazey, Fowey, Lostwithiel, Looe, Torpoint, Calstock, Dartmouth",Zong & Tooley (2003); Ruocco et al. (2011); Haigh et al. (2015)
244,1986,11,,1,English Channel-River Fowey (Cornwall),Lerryn,Cornwall Council (2011)
245,1986,11,21,2,"English Channel (South West and central), Celtic Sea (Wales)","Cornwall, Isle of Wight-the Solent (Cowes, Portsmouth), East Sussex, Wales",Met Office (1986)
246,1987,10,7-9,2,"Celtic Sea (North Cornwall, England); English Channel (the Solent)","Boscastle, Chapel Amble, Polmorla (Wadebridge, River Camel), Lymington, River Hamble, Southampton, Cowes, Shanklin, Ryde, Fareham",Met Office (1987); Zong & Tooley (2003); Ruocco et al. (2011); Haigh et al. (2015)
247,1988,1,,1,English Channel (Cornwall),"Lerryn, Lostwithiel (River Fowey), Looe",Cornwall Council (2011)
248,1988,1,5,1,English Channel (the Solent),Ryde,Zong & Tooley (2003)
249,1988,3,9-11,1,North Sea (England),"Great Yarmouth, Burl Valley, Thurne Valley, Spurn Head",Zong & Tooley (2003); Lamb (1991); Hickey (1997)
250,1989,2,11,1,Atlantic (North West Scotland),Stornoway,Hickey (1997)
251,1989,2,14,1,North Sea (England),"Brightlingsea, Wivenhoe, Southwold",Lamb (1991); Zong & Tooley (2003); Haigh et al. (2015)
252,1989,3,8,1,Irish Sea (Scotland),Carsethorn (Dumfries),Hickey (1997)
253,1989,12,20,1,"English Channel (Devon, the Solent)","Sidmouth, Dawlish, Budleigh Salterton, Lympstone, Southampton",Zong & Tooley (2003)
254,1989,12,13-17,4,Atlantic-Celtic Sea (England); English Channel (the Solent),"Isles of Scilly, Southampton, Lymington, Gurnard, Gosport, Newport, Cowes, Fareham, Emsworth, Old Portsmouth, Selsey, Brockenhurst, Seaview, Hythe, Warsash, Isle of Portland, Keyhaven",Met Office (1989); Davison et al. (1993); Hickey (1997); Eden (2008); Ruocco et al (2011); Haigh et al. (2015)
255,1990,2,,1,"Celtic Sea (North Cornwall, England)","Newquay, St Ives",Cornwall Council (2011)
256,1990,10,28-30,1,English Channel,-,Eden (2008); Kundewicz et al. (2013)
257,1990,12,12,1,North Sea (England),"Norfolk, East Anglia",Hickey (1997)
258,1990,2,1-3,2,Irish Sea (Wales); Atlantic (North West Scotland),"Towyn, Stornoway; England (unknown locations)",Lamb (1991); Hickey (1993); Zong & Tooley (2003)
259,1990,2,26-27,5,Irish Sea (Wales),"Pensarn to Kinmel Bay, Towyn, Rhyl, Ffynnongroyw, Prestatyn, Clwyd",Met Office (1990); Lamb (1991); Kundewicz et al. (2013); Haigh et al. (2015)
260,1991,1,2,1,Irish Sea (England and North Wales),"Morecambe, Rampside, Barrow-in-Furness, Holyhead",Zong & Tooley (2003); Haigh et al. (2015)
261,1991,11,,1,Irish Sea-Firth of Clyde (Scotland),Ardrossan,Hickey (1997)
262,1991,1,5,4,Irish Sea-Firth of Clyde (Scotland),"Ardrossan, Helensburg, Millport, Largs, Saltcoats, Rothesay",Met Office (1991); Hickey (1997); Kundewicz et al. (2013); Haigh et al. (2015)
263,1992,8,29,1,"English Channel (Cornwall, Dorset)","Christchurch, Wadebridge, Hayle and Lelant, Newlyn, Penzance and Long Rock, Helston, Falmouth and Penryn, Perranarworthal, Truro, Pentewan, Bugle, St Blazey and Tywardreath, the Glyn Valley, East Taphouse ",Met Office (1992); Haigh et al. (2015)
264,1993,11,14,1,North Sea (England),"Goxhill, Humberston, Ashby cum Fenby, Cayton near Scarborough",Zong & Tooley (2003); Haigh et al. (2015)
265,1993,1,10-13,3,English Channel (the Solent),"Portsmouth, Hayling, Fareham (Warsash, Portchester, Wallington), Gosport, Isle of Wight (Cowes, Ryde,  Wootton Bridge, Newport), Southampton, Romsey",Davison et al. (1993); Met Office (1993); Eden (2008); Ruocco et al. (2011); Haigh et al. (2015)
266,1993,2,21,4,North Sea (England),"Humberside, Thames Estuary, Great Yarmouth, Spurn Head, Scarborough",Met Office (1993); Zong & Tooley (2003); Eden (2008); Haigh et al. (2015)
267,1994,12,4,1,"Bristol Channel, English Channel (the Solent)","Severn valley at Gloucester, Portsmouth, Cowes, Hamble",Zong & Tooley (2003); Ruocco et al. (2011); Haigh et al. (2015)
268,1994,12,7,2,English Channel (the Solent),"Langstone, Gosport, Emsworth, Hayling, Botley",Ruocco et al. (2011); Haigh et al. (2015)
269,1995,12,23-24,1,English Channel (the Solent),"Portsmouth, Wootton Bridge, Hythe, Dibden",Ruocco et al. (2011); Haigh et al. (2015)
270,1995,,,2,North Sea (England),Blyth,Northumberland County Council (2015)
271,1995,1,19,2,English Channel (the Solent),"Langstone, Gosport, Portsmouth, Southsea, Hayling, Southampton",Ruocco et al. (2011)
272,1996,,,1,North Sea (North East England),Beadnell (Northunmberland),Northumberland County Council (2015)
273,1996,2,19-20,1,North Sea (England),"East Yorkshire, Lincolnshire, Norfolk, East Kent",Eden (2008)
274,1996,10,28-29,1,English Channel (the Solent); Bristol Channel,"Langstone, Emsworth, Gosport; Porlock Bay",Ruocco et al. (2011); Haigh et al. (2015)
275,1996,1,,2,"English Channel (Cornwall), Celtic Sea (North Cornwall)","Sladesbridge, Gillan Harbour, Lerryn, Polperro",Cornwall Council (2011)
276,1996,4,,2,"Celtic Sea-River Camel (North Cornwall, England)",Wadebridge,Cornwall Council (2011)
277,1997,2,10,1,Irish Sea (England),Sefton coast,Haigh et al. (2015)
278,1997,2,24,1,English Channel (Southern England),-,Eden (2008)
279,1997,12,,1,English Channel and west coasts,-,CEH (1997)
280,1997,2,,2,North Sea (North East England),"Blyth, Berwick-upon-Tweed, Holy Island",Northumberland County Council (2015)
281,1998,1,1-8,1,English Channel,-,Eden (2008)
282,1998,3,4,1,English Channel (the Solent),Old Portsmouth,Ruocco et al. (2011)
283,1998,9,9,1,English Channel (the Solent),"Selsey, Langstone, Emsworth",Ruocco et al. (2011)
284,1998,1,14,2,English Channel (the Solent),"Selsey, Ryde",Ruocco et al. (2011)
285,1998,1,4,3,English Channel (the Solent),"Southsea, Selsey, Hayling, Gosport, Fareham",Ruocco et al. (2011)
286,1999,1,4,1,English Channel (the Solent),Selsey,CEH (1999); Haigh et al. (2015)
287,1999,8,,1,North Sea (North East England),Northumberland,Northumberland County Council (2015)
288,1999,10,24,2,English Channel (the Solent),"Selsey, Southsea (Portsmouth)",Ruocco et al. (2011)
289,1999,12,24-25,3,"English Channel (Dorset, the Solent, Channel Islands, Kent)","Portsmouth, Southampton, Selsey, Jersey, Lymington, Dorset, Kent",Eden (2008); Ruocco et al. (2011); Kundewicz et al. (2013); Haigh et al. (2015)
290,2000,10,,1,UK,-,CEH (2000)
291,2000,12,12,2,English Channel (Dorset),Christchurch,Haigh et al. (2015)
292,2001,3,10-12,1,English Channel (the Solent),Emsworth,Ruocco et al. (2011); Haigh et al. (2015)
293,2002,1,29,1,English Channel (the Solent),Hayling,Ruocco et al. (2011)
294,2002,9,,2,North Sea (North East England),Seahouses (Northumberland),Northumberland County Council (2015)
295,2002,2,1,4,"Celtic Sea, Irish Sea, English Channel","Barrow-in-Furness (Cumbria), Langstone, Southsea/Portsmouth, Hayling Island (Hampshire), Sladebridge (north Cornwall), Mevagissey, Polkerris, Fowey, Golant, Lerryn and Lostwithiel, Cremyll and Calstock (south Cornwall)",Eden (2008); Ruocco et al. (2011); Haigh et al. (2015)
296,2004,10,27,3,English Channel (Cornwall-Devon-Dorset),"Cornwall, Devon, Dorset",Met Office (2004); Eden (2008); Haigh et al. (2015)
297,2005,11,3,3,"English Channel (Dorset, the Solent)","Chesil, Hayling Island",Ruocco et al. (2011)
298,2005,1,11-12,5,Atlantic (North West Scotland); North Sea (North East),"South Uist, Barra (Scotland), Warkworth (River Coquet, Northumberland)",Haigh et al. (2015)
299,2006,3,,2,"English Channel (Cornwall), Celtic Sea (North Cornwall)","Bude, Boscastle, Wadebridge, Perranporth, Portreath, Hayle, St Erth and Lelant, Newlyn, Penzance, Gweek, Flushing, Pentewan, Par, Fowey, Looe, Saltash",Cornwall Council (2011)
300,2006,3,30,2,Bristol Channel,Tintern,Haigh et al. (2015)
301,2006,10,6-8,2,"Celtic Sea (Devon, Cornwall), English Channel (South West)","Widemouth Bay, Trebarwith Strand, Port Isaac, Polzeath, Mawgan Porth, Newquay, Perranporth, Portreath, St Ives, Penzance, Flushing, Penryn, Perranarworthal, Mevagissey, Fowey and Looe",Haigh et al. (2015)
302,2006,12,3,2,"Celtic-Irish Seas, English Channel (South West England, Northern Ireland)","Devon, Cornwall",Haigh et al. (2015)
303,2007,2,,1,North Sea (North East England),Berwick-upon-Tweed,Northumberland County Council (2015)
304,2007,11,9,3,North Sea (England),"Walcott (Norfolk), Suffolk",Eden (2008); Haigh et al. (2015)
305,2008,3,10,3,"English Channel (Cornwall, the Solent, Channel Isles)","Teignmouth, Flushing, Poole, Beaulieu, Totton, Southampton (St Denys, Woodmill), Portsmouth, Sandown, Cowes, Gurnard, Yarmouth (Isle of Wight), Bosham, Emsworth, Selsey, Jersey",Wadey et al (2013); Haigh et al. (2015)
306,2010,11,11,1,UK west and south,"Wales, Western Scotland, Isle of Wight",Haigh et al. (2015)
307,2010,3,29-31,3,"North Wales (Irish Sea), Scotland","Llanddulas (Conwy County), Rhyl (Denbighshire), Bangor (Gwynedd), St Andrews Golf Course (Fife), Edinburgh, East Lothian",Met Office (2010)
308,2011,11,27,2,North Sea (England),"Whitby, Scarborough, Humber Estuary, Norfolk",Haigh et al. (2015)
309,2012,10,17,1,English Channel (Dorset),"Studland, Poole (Dorset)",Haigh et al. (2015)
310,2012,10,18,2,English Channel (Cornwall),"Lynmouth, Mevagissey, Looe, Kingsbridge",Met Office (2012)
311,2012,12,14,3,"English Channel (Cornwall), North Sea-Moray Firth (Scotland)","Looe, Lossiemouth",Met Office (2012)
312,2013,10,28,1,English Channel (the Solent),Yarmouth,IOWCP (2013a); IOWCP (2013b); Wadey et al. (2015); Ozsoy et al. (2016)
313,2013,12,6,5,"North Sea (England, Scotland), English Channel (Kent to the Solent), Irish Sea (North Wales, England, Scotland), Atlantic Scotland","Sunderland, Hull, Boston, Great Yarmouth, Lowestoft, North Berwick, Jaywick, Blackpool, Cleveleys, Walcott, Cromer, Whitstable, Portgordon, New Brighton, Rhyl, Havant, Cowes, Southampton",Met Office (2013); Haigh et al. (2015)
314,2014,8,12,1,Irish Sea (England),"Overton, Sunderland Point (Lancashire)",BBC (2014)
315,2014,1,6,3,"English Channel (Dorset), Celtic & Irish Seas (Wales)","Aberystwyth, Christchurch",Haigh et al. (2015)
316,2014,2,1,3,"English Channel (South West), Celtic & Irish Seas (Wales)","Aberystwyth, Newgale, Looe, Newlyn",Haigh et al. (2015)
317,2014,2,3,3,English Channel (South West),"Looe, Fowey, Newlyn, Porthleven, Mevagissey, Plymouth, Salcombe, Exmouth, Kingsbridge (Estuary)",Haigh et al. (2015)
318,2014,2,14,3,"English Channel (Devon, Dorset, the Solent)","Plymouth, Milford on Sea, Chesil Beach, Hurst Spit",Met Office (2014); Haigh et al. (2015)
319,2014,1,3,4,"English Channel (Cornwall to Sussex, Channel Isles), Bristol Channel, Irish Sea (Isle of Man)","Isle of Man, Newquay, Minsterworth, Maisemore, Elmore, Newnham, Jersey, Hastings",Haigh et al. (2015)
320,2015,1,22,1,Irish Sea (England),Lancaster,Lancaster Guardian (2015)
321,2015,2,20-21,1,North Sea (Thames),Richmond on Thames (London),De Peyer (2015); Mann (2015); ITV (2015)
322,2015,3,21,1,North Sea (Thames),Greenwich (London),The Independent (2015)
323,2015,8,4,1,Irish Sea (Northern Ireland),Salthill (Galway),BBC (2015)
324,2015,10,28,1,English Channel (Dorset),Christchurch (Dorset),SurgeWatch Blog
325,2015,12,30,2,Irish Sea-Firth of Clyde (Scotland),Saltcoats,BBC (2016a)
326,2016,2,8,1,"English Channel (Dorset, the Solent), Celtic Sea (Wales)","Poole, Portsmouth, Porthcawl, Aberywystwyth",BBC (2016b)
327,2016,4,10,2,English Channel (Cornwall),"St Maws, Porthleven, Looe, Cawsand",BBC (2016c)
328,2016,5,6,1,Celtic Sea-Bristol Channel (Wales),Ogmore,Houghton (2016)
329,2016,11,19,2,"English Channel (Dorset, the Solent)","Swanage, Portsmouth",ITV (2016)
