SurgeWatch Version 2.0 ,,,,,
02-Feb-17,,,,,
,,,,,
This file contains peak water levels for each category 3 event and higher,,,,,
,,,,,
Tide gauge site,Date and time, Offset return period (years), Water Level (mCD), Astronomical Tide (m), Skew Surge (m)
Whitby,31/01/2002 05:30,<1,6.01,5.79,0.22
Cromer,31/01/2002 08:15,<1,5.35,5.12,0.23
Lowestoft,31/01/2002 11:15,<1,2.78,2.53,0.26
Dover,31/01/2002 12:45,<1,7,6.87,0.12
Newhaven,31/01/2002 13:00,<1,7.1,7.02,0.08
Newlyn,01/02/2002 06:45,<1,6.03,5.83,0.2
St. Mary's,01/02/2002 07:00,<1,6.25,6.03,0.22
Devonport,01/02/2002 08:30,<1,6.07,5.78,0.29
Milford Haven,01/02/2002 08:30,5,8.02,7.49,0.53
Mumbles,01/02/2002 08:45,2,10.49,9.93,0.57
Hinkley Point,01/02/2002 09:15,<1,12.93,12.16,0.76
Stornoway,01/02/2002 09:15,4,5.74,5.3,0.44
Weymouth,01/02/2002 09:30,1,2.71,2.52,0.19
Newport,01/02/2002 09:30,<1,13.22,12.24,0.97
Fishguard,01/02/2002 09:30,7,5.7,5.39,0.31
Avonmouth,01/02/2002 09:45,<1,14.46,13.48,0.98
Barmouth,01/02/2002 10:45,5,6.15,5.54,0.61
Bournemouth,01/02/2002 11:15,<1,2.74,2.42,0.32
Holyhead,01/02/2002 12:45,92,6.86,6.12,0.74
Llandudno,01/02/2002 13:15,17,8.9,8.24,0.66
Liverpool,01/02/2002 13:30,5,10.69,9.75,0.94
Heysham,01/02/2002 13:45,28,11.35,10.27,1.08
Workington,01/02/2002 13:45,17,9.72,8.93,0.79
Port Erin ,01/02/2002 13:45,33,6.52,5.73,0.79
Portsmouth,01/02/2002 14:00,<1,5.23,4.91,0.32
Portpatrick,01/02/2002 14:00,113,5.17,4.41,0.76
Millport,01/02/2002 15:00,8,4.63,3.96,0.67
Port Ellen,01/02/2002 17:15,<1,1.68,0.87,0.81
Tobermory,01/02/2002 20:30,2,5.44,4.69,0.75
Ullapool,01/02/2002 21:45,2,6.06,5.21,0.84
Wick,02/02/2002 02:15,6,4.28,3.57,0.71
Aberdeen,02/02/2002 04:15,4,5.06,4.36,0.7
North Shields,02/02/2002 06:30,<1,5.62,5.14,0.48
Lerwick,02/02/2002 13:45,9,2.9,2.29,0.61
Lowestoft,26/10/2004 07:15,<1,2.81,2.56,0.25
Dover,26/10/2004 09:30,<1,6.81,6.49,0.33
Newlyn,27/10/2004 16:15,37,6.42,5.65,0.78
St. Mary's,27/10/2004 16:15,3,6.4,5.72,0.68
Devonport,27/10/2004 17:15,8,6.35,5.68,0.67
Ilfracombe,27/10/2004 17:30,<1,9.83,9.44,0.39
Mumbles,27/10/2004 17:45,<1,10.07,9.66,0.41
Milford Haven,27/10/2004 17:45,<1,7.65,7.14,0.5
Weymouth,27/10/2004 18:00,17,2.95,2.35,0.6
Stornoway,27/10/2004 18:15,<1,5.16,5.01,0.14
Fishguard,27/10/2004 18:45,2,5.57,5,0.58
Bournemouth,27/10/2004 20:15,2,2.85,2.25,0.6
Holyhead,27/10/2004 21:45,<1,6.29,5.8,0.49
Newhaven,27/10/2004 22:45,<1,6.95,6.72,0.23
Portsmouth,27/10/2004 22:45,<1,5.13,4.59,0.54
Port Erin ,27/10/2004 22:45,<1,5.69,5.26,0.43
Wick,27/10/2004 22:45,<1,3.76,3.67,0.09
Portpatrick,27/10/2004 23:00,<1,4.42,4.02,0.4
Aberdeen,28/10/2004 00:45,<1,4.57,4.45,0.12
Immingham,28/10/2004 05:45,<1,7.39,7.36,0.03
Cromer,28/10/2004 06:15,<1,5.11,5.21,-0.1
Port Ellen,28/10/2004 18:00,<1,1.3,0.91,0.39
Hinkley Point,28/10/2004 18:45,<1,12.2,12.12,0.08
Avonmouth,28/10/2004 19:15,<1,13.77,13.75,0.03
Newport,28/10/2004 19:15,<1,12.54,12.6,-0.06
Llandudno,28/10/2004 22:45,<1,8.15,7.76,0.39
Liverpool,28/10/2004 23:00,<1,9.91,9.55,0.36
Lerwick,28/10/2004 23:00,<1,2.31,2.31,0
Heysham,28/10/2004 23:15,<1,10.29,9.9,0.39
Workington,28/10/2004 23:30,<1,8.78,8.37,0.4
Harwich,28/10/2004 23:45,<1,4.21,4.09,0.12
Sheerness,29/10/2004 00:45,<1,5.97,5.89,0.08
North Shields,29/10/2004 03:45,<1,5.42,5.25,0.17
Whitby,29/10/2004 04:15,<1,5.82,5.73,0.1
Newlyn,11/01/2005 05:00,<1,5.83,5.65,0.18
St. Mary's,11/01/2005 05:00,<1,5.9,5.79,0.11
Ilfracombe,11/01/2005 06:15,<1,9.59,9.38,0.21
Mumbles,11/01/2005 06:45,<1,9.83,9.62,0.22
Milford Haven,11/01/2005 06:45,<1,7.34,7.15,0.2
Weymouth,11/01/2005 07:15,<1,2.55,2.37,0.19
Hinkley Point,11/01/2005 07:15,<1,12.15,11.95,0.2
Fishguard,11/01/2005 07:30,<1,5.21,5,0.21
Bournemouth,11/01/2005 09:00,<1,2.52,2.29,0.23
Port Ellen,11/01/2005 18:45,2,1.81,0.7,1.11
Tobermory,11/01/2005 19:00,71,6.06,4.55,1.51
Holyhead,11/01/2005 23:00,<1,6.3,5.66,0.65
Llandudno,11/01/2005 23:30,<1,8.3,7.68,0.62
Liverpool,11/01/2005 23:45,<1,10.4,9.41,1
Heysham,12/01/2005 00:00,2,10.85,9.81,1.03
Port Erin ,12/01/2005 00:00,<1,6.01,5.32,0.69
Workington,12/01/2005 00:15,<1,9.26,8.36,0.9
Portpatrick,12/01/2005 00:15,1,4.62,3.84,0.78
Millport,12/01/2005 01:30,<1,4.17,3.36,0.81
Stornoway,12/01/2005 08:00,17,5.89,5.19,0.7
Newport,12/01/2005 08:15,<1,12.54,12.52,0.02
Ullapool,12/01/2005 08:15,57,6.44,5.52,0.93
Kinlochbervie,12/01/2005 08:30,70,6.28,5.22,1.06
Lerwick,12/01/2005 12:00,5,2.86,2.39,0.47
Wick,12/01/2005 12:30,65,4.5,3.74,0.76
Aberdeen,12/01/2005 14:30,57,5.31,4.54,0.76
North Shields,12/01/2005 16:45,16,6.11,5.38,0.73
Immingham,12/01/2005 19:00,4,8.29,7.42,0.87
Cromer,12/01/2005 20:00,4,6.13,5.32,0.81
Lowestoft,12/01/2005 22:30,3,3.68,2.67,1.01
Dover,13/01/2005 00:30,2,7.55,6.85,0.7
Newhaven,13/01/2005 01:00,<1,7.26,6.9,0.36
Portsmouth,13/01/2005 01:00,<1,5.13,4.76,0.38
Harwich,13/01/2005 01:30,1,4.7,4.06,0.64
Sheerness,13/01/2005 02:00,<1,6.31,5.81,0.49
Port Erin ,02/11/2005 23:15,<1,5.84,5.42,0.42
Portpatrick,02/11/2005 23:30,<1,4.43,4.06,0.37
Millport,03/11/2005 00:15,<1,3.9,3.56,0.34
St. Mary's,03/11/2005 04:45,<1,5.99,5.8,0.19
Newlyn,03/11/2005 05:00,<1,5.93,5.7,0.24
Devonport,03/11/2005 06:15,<1,6.03,5.68,0.35
Ilfracombe,03/11/2005 06:15,<1,9.62,9.38,0.25
Tobermory,03/11/2005 06:15,<1,5.05,4.73,0.32
Mumbles,03/11/2005 06:30,<1,9.93,9.61,0.32
Milford Haven,03/11/2005 06:30,<1,7.57,7.23,0.34
Weymouth,03/11/2005 07:00,3,2.81,2.47,0.34
Hinkley Point,03/11/2005 07:00,<1,12.08,11.97,0.11
Stornoway,03/11/2005 07:15,<1,5.23,5.04,0.19
Ullapool,03/11/2005 07:15,<1,5.57,5.35,0.22
Avonmouth,03/11/2005 07:30,<1,13.7,13.5,0.19
Newport,03/11/2005 07:30,<1,12.49,12.33,0.16
Fishguard,03/11/2005 07:30,<1,5.27,4.98,0.29
Kinlochbervie,03/11/2005 07:30,<1,5.28,5.05,0.23
Barmouth,03/11/2005 08:30,<1,5.62,5.18,0.44
Bournemouth,03/11/2005 09:45,<1,2.71,2.37,0.34
Holyhead,03/11/2005 10:45,<1,6.17,5.79,0.38
Llandudno,03/11/2005 11:00,<1,8.07,7.79,0.28
Portsmouth,03/11/2005 11:15,<1,5.17,4.87,0.3
Newhaven,03/11/2005 11:30,<1,6.91,6.9,0.01
Heysham,03/11/2005 11:30,<1,10.08,9.76,0.32
Workington,03/11/2005 11:45,<1,8.75,8.4,0.34
Wick,03/11/2005 11:45,<1,3.87,3.62,0.25
North Shields,03/11/2005 16:00,<1,5.42,5.16,0.26
Whitby,03/11/2005 16:30,<1,5.88,5.66,0.22
Lerwick,03/11/2005 23:45,<1,2.51,2.32,0.19
Aberdeen,04/11/2005 02:00,<1,4.72,4.38,0.34
Immingham,04/11/2005 06:45,<1,7.25,7.18,0.07
Cromer,04/11/2005 07:15,<1,5.17,5.09,0.08
Lowestoft,04/11/2005 10:15,<1,2.71,2.51,0.2
Dover,04/11/2005 12:00,<1,6.8,6.87,-0.07
Harwich,04/11/2005 12:30,<1,4.19,4.02,0.16
Sheerness,04/11/2005 13:30,<1,5.88,5.73,0.15
Tobermory,08/11/2007 04:45,<1,4.34,4.05,0.29
Devonport,08/11/2007 05:15,<1,4.93,5.19,-0.26
Stornoway,08/11/2007 05:45,<1,4.75,4.38,0.37
Kinlochbervie,08/11/2007 06:00,<1,4.96,4.42,0.54
Ullapool,08/11/2007 06:15,<1,5.2,4.69,0.51
Lerwick,08/11/2007 09:45,<1,2.35,2.23,0.12
Heysham,08/11/2007 10:15,<1,9.27,8.81,0.46
Workington,08/11/2007 10:15,<1,7.89,7.55,0.34
Port Ellen,08/11/2007 13:30,<1,0.89,0.8,0.08
Wick,08/11/2007 22:15,<1,3.4,3.25,0.16
Sheerness,09/11/2007 00:00,<1,6.48,5.74,0.74
Aberdeen,09/11/2007 00:45,<1,4.42,4.06,0.36
Leith,09/11/2007 01:45,<1,5.61,5.19,0.41
North Shields,09/11/2007 02:15,<1,5.45,4.82,0.63
Whitby,09/11/2007 03:15,<1,6.35,5.43,0.92
Immingham,09/11/2007 04:45,<1,7.88,6.94,0.95
Cromer,09/11/2007 05:00,<1,5.45,4.85,0.6
Bournemouth,09/11/2007 07:30,<1,2.49,2.09,0.41
Lowestoft,09/11/2007 08:15,19,4.13,2.57,1.56
Newhaven,09/11/2007 10:30,<1,7.09,6.51,0.58
Portsmouth,09/11/2007 10:30,<1,5.02,4.59,0.43
Dover,09/11/2007 10:30,5,7.69,6.56,1.13
Newlyn,09/11/2007 16:00,<1,5.18,5.2,-0.02
Ilfracombe,09/11/2007 17:30,<1,8.67,8.69,-0.03
Milford Haven,09/11/2007 17:45,<1,6.62,6.6,0.02
Mumbles,09/11/2007 18:00,<1,8.92,9.35,-0.43
Hinkley Point,09/11/2007 18:30,<1,11.14,11.27,-0.14
Newport,09/11/2007 18:45,<1,11.47,11.6,-0.13
Avonmouth,09/11/2007 19:00,<1,12.6,12.71,-0.12
Fishguard,09/11/2007 19:00,<1,4.47,4.41,0.05
Barmouth,09/11/2007 19:45,<1,4.72,4.67,0.05
Holyhead,09/11/2007 22:00,<1,5.36,5.25,0.11
Llandudno,09/11/2007 22:30,<1,7.25,7.11,0.14
Liverpool,09/11/2007 22:45,<1,9.18,8.91,0.27
Port Erin ,09/11/2007 23:00,<1,5.01,4.92,0.08
Portpatrick,09/11/2007 23:30,<1,3.75,3.67,0.09
Millport,10/11/2007 00:00,<1,3.32,3.25,0.07
St. Mary's,10/11/2007 04:30,<1,5.19,5.31,-0.11
North Shields,09/03/2008 16:30,<1,5.64,5.47,0.18
Whitby,09/03/2008 17:00,<1,6.16,6,0.16
Immingham,09/03/2008 19:00,<1,7.8,7.58,0.22
Cromer,09/03/2008 19:30,<1,5.57,5.46,0.11
Lowestoft,09/03/2008 22:45,<1,2.83,2.65,0.18
Dover,10/03/2008 00:15,<1,7.11,7.18,-0.07
Newlyn,10/03/2008 06:15,15,6.35,5.89,0.46
St. Mary's,10/03/2008 06:15,4,6.43,6.03,0.4
Port Ellen,10/03/2008 07:00,<1,1.67,0.95,0.72
Devonport,10/03/2008 07:30,7,6.34,5.73,0.61
Ilfracombe,10/03/2008 07:30,4,10.31,9.78,0.53
Tobermory,10/03/2008 07:30,1,5.43,4.93,0.5
Milford Haven,10/03/2008 07:45,19,8.18,7.57,0.6
Hinkley Point,10/03/2008 08:30,<1,12.92,12.4,0.52
Ullapool,10/03/2008 08:30,<1,5.92,5.55,0.37
Fishguard,10/03/2008 08:45,8,5.72,5.2,0.52
Kinlochbervie,10/03/2008 08:45,<1,5.59,5.28,0.31
Weymouth,10/03/2008 09:00,40,3.04,2.51,0.53
Avonmouth,10/03/2008 09:00,<1,14.54,13.95,0.58
Barmouth,10/03/2008 09:45,4,6.12,5.5,0.62
Bournemouth,10/03/2008 10:30,23,3.09,2.43,0.66
Holyhead,10/03/2008 12:00,5,6.58,5.99,0.59
Llandudno,10/03/2008 12:15,3,8.69,8.27,0.42
Heysham,10/03/2008 12:45,1,10.81,10.33,0.48
Port Erin ,10/03/2008 12:45,2,6.21,5.69,0.52
Lerwick,10/03/2008 12:45,<1,2.61,2.39,0.22
Portsmouth,10/03/2008 13:00,7,5.5,4.92,0.58
Workington,10/03/2008 13:00,2,9.36,8.9,0.45
Portpatrick,10/03/2008 13:00,2,4.69,4.2,0.49
Wick,10/03/2008 13:00,<1,4.1,3.78,0.32
Newhaven,10/03/2008 13:15,<1,7.2,7.12,0.09
Millport,10/03/2008 14:00,<1,4.14,3.69,0.45
Aberdeen,10/03/2008 15:00,<1,4.91,4.63,0.28
Leith,10/03/2008 16:15,<1,6.18,5.84,0.34
Millport,29/03/2010 11:15,<1,3.54,3.48,0.06
Aberdeen,29/03/2010 12:30,<1,4.47,4.46,0.01
Port Ellen,30/03/2010 05:15,<1,1.11,1,0.1
Devonport,30/03/2010 05:45,<1,6.15,5.94,0.21
Ilfracombe,30/03/2010 05:45,<1,10.07,10,0.08
Tobermory,30/03/2010 05:45,<1,4.93,4.92,0.01
Milford Haven,30/03/2010 06:00,<1,7.82,7.68,0.14
Mumbles,30/03/2010 06:15,<1,10.31,10.22,0.09
Stornoway,30/03/2010 06:30,<1,5.24,5.23,0.01
Ullapool,30/03/2010 06:45,<1,5.51,5.53,-0.02
Weymouth,30/03/2010 07:00,1,2.71,2.51,0.2
Fishguard,30/03/2010 07:00,<1,5.4,5.29,0.11
Kinlochbervie,30/03/2010 07:00,<1,5.17,5.19,-0.02
Barmouth,30/03/2010 08:00,<1,5.68,5.51,0.18
Bournemouth,30/03/2010 09:00,<1,2.72,2.46,0.26
Holyhead,30/03/2010 10:15,<1,6.16,5.98,0.18
Llandudno,30/03/2010 10:30,<1,8.28,8.25,0.03
Port Erin ,30/03/2010 11:00,<1,5.77,5.71,0.06
Workington,30/03/2010 11:15,<1,8.87,8.88,-0.01
Leith,30/03/2010 14:30,3,6.37,6.06,0.3
Whitby,30/03/2010 16:00,<1,6.16,6.09,0.07
Immingham,30/03/2010 18:00,<1,7.89,7.72,0.17
Cromer,30/03/2010 18:30,<1,5.49,5.43,0.06
Hinkley Point,30/03/2010 19:15,<1,12.88,12.8,0.07
Newport,30/03/2010 19:30,<1,13.34,13.25,0.09
Avonmouth,30/03/2010 19:45,<1,14.42,14.25,0.16
Lowestoft,30/03/2010 21:30,<1,2.87,2.74,0.13
Dover,30/03/2010 23:15,<1,7.09,7.17,-0.08
Newhaven,30/03/2010 23:30,<1,7.33,7.3,0.04
Portsmouth,30/03/2010 23:30,2,5.35,4.99,0.36
Heysham,30/03/2010 23:30,<1,10.33,10.15,0.18
Harwich,31/03/2010 00:00,<1,4.38,4.34,0.04
Lerwick,31/03/2010 11:45,<1,2.42,2.34,0.08
Wick,31/03/2010 12:00,<1,3.68,3.75,-0.07
North Shields,31/03/2010 16:00,<1,5.38,5.59,-0.21
Liverpool,01/04/2010 00:00,<1,10.12,9.91,0.21
Newlyn,14/12/2012 04:45,5,6.26,5.92,0.34
St. Mary's,14/12/2012 04:45,2,6.38,6.09,0.29
Devonport,14/12/2012 06:00,2,6.24,5.89,0.35
Ilfracombe,14/12/2012 06:15,<1,10.02,9.84,0.18
Fishguard,14/12/2012 07:30,<1,5.46,5.27,0.19
Weymouth,14/12/2012 07:45,5,2.87,2.52,0.34
Bournemouth,14/12/2012 09:00,3,2.92,2.57,0.35
Portsmouth,14/12/2012 11:15,<1,5.28,4.97,0.31
Newhaven,14/12/2012 11:30,<1,7.19,7.11,0.08
Harwich,14/12/2012 12:00,<1,4.31,4.23,0.08
Barmouth,14/12/2012 20:45,<1,5.81,5.15,0.66
Liverpool,14/12/2012 23:45,<1,10.36,9.83,0.53
Heysham,14/12/2012 23:45,<1,10.64,10.05,0.59
Port Erin ,15/12/2012 00:00,<1,6.01,5.61,0.4
Workington,15/12/2012 00:15,<1,9.18,8.72,0.47
Portpatrick,15/12/2012 00:15,<1,4.52,4.12,0.4
Wick,15/12/2012 00:15,2,4.2,3.74,0.46
Tobermory,15/12/2012 07:00,<1,5.33,5.07,0.25
Mumbles,15/12/2012 07:15,<1,10.22,10.12,0.11
Hinkley Point,15/12/2012 07:45,<1,12.67,12.36,0.31
Ullapool,15/12/2012 07:45,1,6,5.71,0.28
Newport,15/12/2012 08:00,<1,13.08,12.91,0.17
Stornoway,15/12/2012 08:00,1,5.66,5.41,0.25
Kinlochbervie,15/12/2012 08:30,<1,5.65,5.4,0.25
Holyhead,15/12/2012 11:15,<1,6.34,6.01,0.33
Llandudno,15/12/2012 11:45,<1,8.43,8.35,0.09
Lerwick,15/12/2012 12:00,<1,2.71,2.45,0.26
Millport,15/12/2012 13:30,<1,3.94,3.79,0.15
Leith,15/12/2012 15:45,<1,6.11,5.94,0.17
North Shields,15/12/2012 16:30,<1,5.51,5.45,0.06
Whitby,15/12/2012 17:00,<1,6.07,6,0.07
Cromer,15/12/2012 18:30,<1,4.98,5.3,-0.32
Immingham,15/12/2012 19:15,<1,7.56,7.37,0.19
Lowestoft,15/12/2012 22:30,<1,2.85,2.7,0.15
Millport,05/12/2013 01:30,<1,3.63,3.46,0.17
Tobermory,05/12/2013 07:00,4,5.6,4.98,0.62
Ilfracombe,05/12/2013 07:15,<1,9.76,9.74,0.03
Ullapool,05/12/2013 07:15,9,6.25,5.64,0.61
Stornoway,05/12/2013 07:30,1,5.66,5.32,0.34
Cromer,05/12/2013 07:30,<1,4.85,5.12,-0.27
Mumbles,05/12/2013 07:45,<1,10,9.94,0.06
Hinkley Point,05/12/2013 08:15,<1,12.55,12.35,0.21
Kinlochbervie,05/12/2013 08:15,1,5.72,5.34,0.38
Fishguard,05/12/2013 08:30,<1,5.26,5.28,-0.02
Barmouth,05/12/2013 09:30,<1,5.85,5.47,0.39
Holyhead,05/12/2013 11:45,4,6.55,6.03,0.52
Llandudno,05/12/2013 12:00,15,8.91,8.21,0.71
Heysham,05/12/2013 12:15,4,11.05,10.22,0.82
Lerwick,05/12/2013 12:15,<1,2.52,2.47,0.05
Liverpool,05/12/2013 12:30,43,11.15,9.98,1.17
Workington,05/12/2013 12:30,<1,8.97,8.84,0.13
Port Erin ,05/12/2013 12:30,<1,5.95,5.69,0.26
Wick,05/12/2013 12:45,1,4.15,3.75,0.4
Portpatrick,05/12/2013 13:00,<1,4.28,4.23,0.05
Aberdeen,05/12/2013 15:00,20,5.23,4.63,0.6
Leith,05/12/2013 15:15,21,6.61,5.9,0.7
North Shields,05/12/2013 16:15,405,6.58,5.5,1.08
Whitby,05/12/2013 17:15,568,7.32,6.08,1.24
Immingham,05/12/2013 19:15,787,9.12,7.5,1.62
Lowestoft,05/12/2013 22:30,188,4.76,2.83,1.93
Dover,06/12/2013 00:45,843,8.45,6.81,1.64
Portsmouth,06/12/2013 01:00,12,5.56,4.88,0.69
Newhaven,06/12/2013 01:15,39,7.79,7.06,0.73
Newlyn,06/12/2013 06:45,<1,5.83,5.75,0.08
St. Mary's,06/12/2013 06:45,<1,5.87,5.99,-0.12
Devonport,06/12/2013 07:45,<1,5.79,5.71,0.08
Weymouth,06/12/2013 08:45,<1,2.59,2.39,0.2
North Shields,01/01/2014 15:00,<1,5.61,5.34,0.27
Whitby,02/01/2014 16:30,<1,6.13,6.07,0.06
Immingham,02/01/2014 18:30,<1,7.6,7.56,0.04
Milford Haven,02/01/2014 19:00,<1,7.82,7.45,0.36
Cromer,02/01/2014 19:00,<1,5.37,5.31,0.05
Newport,02/01/2014 19:15,<1,12.68,12.74,-0.05
Lowestoft,02/01/2014 22:00,<1,2.79,2.77,0.02
Wick,02/01/2014 22:45,<1,3.57,3.6,-0.03
Dover,02/01/2014 23:45,<1,7.1,6.92,0.18
Harwich,03/01/2014 00:15,<1,4.42,4.19,0.23
Aberdeen,03/01/2014 02:15,<1,4.91,4.47,0.44
Leith,03/01/2014 03:15,2,6.36,5.89,0.47
Newlyn,03/01/2014 06:00,9,6.32,6,0.32
Devonport,03/01/2014 06:45,5,6.33,5.95,0.38
Ilfracombe,03/01/2014 07:00,20,10.5,10.02,0.48
Mumbles,03/01/2014 07:15,9,10.73,10.23,0.5
Tobermory,03/01/2014 07:15,8,5.73,5.07,0.65
Weymouth,03/01/2014 08:00,13,2.94,2.53,0.41
Hinkley Point,03/01/2014 08:00,13,13.35,12.7,0.65
Fishguard,03/01/2014 08:00,17,5.8,5.31,0.49
Ullapool,03/01/2014 08:00,9,6.25,5.77,0.48
Stornoway,03/01/2014 08:15,14,5.89,5.45,0.44
Kinlochbervie,03/01/2014 08:30,5,5.92,5.45,0.47
Barmouth,03/01/2014 09:15,18,6.36,5.62,0.74
Holyhead,03/01/2014 11:00,20,6.74,6.2,0.54
Llandudno,03/01/2014 12:00,17,8.93,8.41,0.52
Liverpool,03/01/2014 12:00,8,10.79,10.22,0.57
Newhaven,03/01/2014 12:15,<1,7.34,7.19,0.15
Heysham,03/01/2014 12:15,9,11.18,10.47,0.71
Lerwick,03/01/2014 12:15,<1,2.68,2.45,0.23
Portsmouth,03/01/2014 12:30,7,5.49,4.91,0.58
Workington,03/01/2014 12:30,46,9.9,9.06,0.84
Port Erin ,03/01/2014 12:30,68,6.62,5.83,0.79
Portpatrick,03/01/2014 12:30,244,5.28,4.39,0.89
Millport,03/01/2014 13:15,18,4.8,3.73,1.07
Dover,05/01/2014 01:15,<1,7.37,6.96,0.42
Newhaven,05/01/2014 01:45,<1,7.35,7.12,0.23
Portsmouth,05/01/2014 01:45,1,5.33,4.85,0.48
Harwich,05/01/2014 02:00,<1,4.54,4.22,0.32
Whitby,05/01/2014 06:30,<1,5.88,5.69,0.19
Newlyn,05/01/2014 07:15,<1,6.09,5.83,0.26
Ilfracombe,05/01/2014 08:45,<1,9.88,9.7,0.17
Milford Haven,05/01/2014 09:00,<1,7.75,7.46,0.29
Cromer,05/01/2014 09:15,<1,5.14,4.87,0.27
Hinkley Point,05/01/2014 09:30,<1,12.54,12.29,0.25
Newport,05/01/2014 09:45,<1,12.98,12.65,0.34
Ullapool,05/01/2014 09:45,<1,5.69,5.51,0.18
Leith,05/01/2014 17:15,<1,6.03,5.88,0.15
North Shields,05/01/2014 18:00,<1,5.42,5.41,0.02
Devonport,06/01/2014 09:15,<1,6.05,5.57,0.49
Mumbles,06/01/2014 09:30,<1,10.18,9.49,0.69
Tobermory,06/01/2014 09:30,<1,5.15,4.57,0.58
Weymouth,06/01/2014 10:30,<1,2.55,2.18,0.37
Stornoway,06/01/2014 10:45,<1,5.4,4.96,0.44
Fishguard,06/01/2014 11:00,<1,5.48,4.84,0.64
Kinlochbervie,06/01/2014 11:15,<1,5.47,4.97,0.5
Barmouth,06/01/2014 11:30,2,5.99,5.11,0.88
Wick,06/01/2014 13:30,<1,3.86,3.62,0.24
Holyhead,06/01/2014 14:00,4,6.56,5.78,0.78
Llandudno,06/01/2014 14:15,<1,8.46,7.78,0.67
Liverpool,06/01/2014 14:30,<1,10.29,9.49,0.8
Heysham,06/01/2014 14:30,<1,10.6,9.71,0.89
Workington,06/01/2014 14:45,1,9.33,8.43,0.9
Port Erin ,06/01/2014 14:45,4,6.3,5.48,0.82
Lerwick,06/01/2014 14:45,<1,2.61,2.28,0.34
Portpatrick,06/01/2014 15:00,18,4.99,4.21,0.77
Millport,06/01/2014 15:30,4,4.53,3.69,0.83
Aberdeen,06/01/2014 16:45,<1,4.72,4.37,0.35
Immingham,06/01/2014 21:30,<1,7.24,7.13,0.11
Lowestoft,07/01/2014 01:00,<1,2.73,2.69,0.05
Cromer,30/01/2014 18:00,<1,5.02,5.12,-0.1
Lowestoft,30/01/2014 21:00,<1,2.51,2.61,-0.1
Weymouth,31/01/2014 19:30,<1,2.68,2.27,0.41
Newport,31/01/2014 19:30,<1,13.11,12.79,0.32
Portsmouth,31/01/2014 23:45,<1,5.15,4.82,0.33
Heysham,31/01/2014 23:45,<1,10.45,10.08,0.37
Newlyn,01/02/2014 05:30,2,6.18,6.12,0.06
St. Mary's,01/02/2014 05:30,2,6.39,6.1,0.29
Devonport,01/02/2014 06:45,1,6.2,6.05,0.15
Ilfracombe,01/02/2014 06:45,5,10.37,10.19,0.17
Tobermory,01/02/2014 06:45,4,5.58,5.11,0.47
Mumbles,01/02/2014 07:15,4,10.62,10.41,0.22
Milford Haven,01/02/2014 07:15,6,8.07,7.81,0.26
Stornoway,01/02/2014 07:30,35,5.97,5.49,0.48
Hinkley Point,01/02/2014 07:45,5,13.21,12.94,0.27
Ullapool,01/02/2014 07:45,9,6.25,5.8,0.45
Fishguard,01/02/2014 08:15,3,5.65,5.3,0.35
Kinlochbervie,01/02/2014 08:15,5,5.93,5.46,0.47
Barmouth,01/02/2014 09:15,2,6.06,5.66,0.4
Holyhead,01/02/2014 11:30,3,6.54,6.27,0.27
Llandudno,01/02/2014 11:30,2,8.7,8.5,0.2
Liverpool,01/02/2014 11:45,2,10.59,10.33,0.26
Workington,01/02/2014 12:15,20,9.77,9.16,0.62
Port Erin ,01/02/2014 12:15,7,6.37,5.89,0.48
Newhaven,01/02/2014 12:30,<1,7.1,7.24,-0.14
Portpatrick,01/02/2014 12:30,15,4.96,4.43,0.53
Millport,01/02/2014 13:00,2,4.39,3.73,0.66
Leith,01/02/2014 15:30,<1,6.2,6.09,0.11
Immingham,01/02/2014 18:45,<1,7.16,7.72,-0.56
Tobermory,02/02/2014 07:45,1,5.42,5.09,0.34
Stornoway,02/02/2014 08:30,10,5.86,5.46,0.39
Ullapool,02/02/2014 08:45,4,6.17,5.76,0.41
Kinlochbervie,02/02/2014 08:45,4,5.9,5.44,0.46
Lerwick,02/02/2014 12:45,<1,2.67,2.41,0.27
Lerwick,02/02/2014 12:45,<1,2.67,2.41,0.27
Wick,02/02/2014 13:00,2,4.18,3.87,0.31
Wick,02/02/2014 13:00,2,4.18,3.87,0.31
Aberdeen,02/02/2014 14:45,<1,4.86,4.68,0.19
Aberdeen,02/02/2014 14:45,<1,4.86,4.68,0.19
Leith,02/02/2014 16:15,<1,6.18,6.1,0.08
North Shields,02/02/2014 17:00,<1,5.68,5.58,0.1
North Shields,02/02/2014 17:00,<1,5.68,5.58,0.1
Whitby,02/02/2014 17:45,<1,6.23,6.14,0.09
Whitby,02/02/2014 17:45,<1,6.23,6.14,0.09
Immingham,02/02/2014 19:45,<1,7.76,7.69,0.07
Newport,02/02/2014 22:45,<1,10.63,12.84,-2.2
Lowestoft,02/02/2014 23:00,<1,2.86,2.78,0.08
Newhaven,03/02/2014 01:15,<1,7.25,7.22,0.03
Newlyn,03/02/2014 07:00,37,6.44,5.97,0.47
Devonport,03/02/2014 08:15,8,6.37,5.91,0.46
Ilfracombe,03/02/2014 08:15,8,10.4,9.94,0.46
Milford Haven,03/02/2014 08:30,12,8.14,7.64,0.5
Mumbles,03/02/2014 08:45,5,10.65,10.15,0.51
Cromer,03/02/2014 08:45,<1,5.02,4.9,0.12
