NUTS level,NUTS code,Region name,Transaction code,Transaction,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS3,UKD63,Cheshire West and Chester,NA,Secondary uses total,4657,4969,5108,5482,5781,5610,6503,7061,7531,7846,8187,8237,7840,8312,8090,8000,8014,8179,7989,8270,8534,8635
NUTS3,UKD63,Cheshire West and Chester,NA,Balance of secondary income,-1817,-2004,-2016,-2169,-2241,-1892,-2541,-2996,-3338,-3355,-3349,-3155,-2331,-2395,-1933,-1552,-1445,-1568,-1262,-1459,-1739,-1722
NUTS3,UKD63,Cheshire West and Chester,B.6g,Gross Disposable Income,11104,11218,11879,12391,12594,13410,14177,14864,15413,15814,16440,16895,17467,17478,17597,18377,18885,19401,20141,20206,20958,21818
NUTS2,UKD7,Merseyside,B.2g,Operating surplus,1327,1360,1438,1511,1563,1559,1575,1673,1725,1799,1791,1814,1636,1582,1587,1626,1587,1682,1724,1799,1814,1838
NUTS2,UKD7,Merseyside,B.3g,Mixed income,588,624,690,738,777,834,870,883,926,964,945,943,975,1017,1033,1048,1084,1150,1184,1203,1287,1373
NUTS2,UKD7,Merseyside,D.1,Compensation of employees,6305,6555,7027,7480,7938,8258,8642,9024,9392,9703,10312,10515,10412,10712,10748,10916,11309,11463,11796,12180,12633,13274
NUTS2,UKD7,Merseyside,D.4,"Property income, received",1959,1988,1871,2068,1908,1979,1959,2173,2348,2277,2625,2644,2145,2196,2126,2004,1974,2185,2305,2216,2003,2221
NUTS2,UKD7,Merseyside,NA,Primary resources total,10180,10526,11025,11797,12187,12630,13046,13753,14392,14743,15673,15916,15168,15507,15494,15594,15954,16479,17009,17398,17737,18706
NUTS2,UKD7,Merseyside,D.4,"Property income, paid",446,483,458,555,528,481,488,665,728,752,950,1152,327,256,311,285,226,273,299,308,227,307
NUTS2,UKD7,Merseyside,NA,Primary uses total,446,483,458,555,528,481,488,665,728,752,950,1152,327,256,311,285,226,273,299,308,227,307
NUTS2,UKD7,Merseyside,B.5g,Balance of primary incomes,9734,10043,10567,11241,11659,12149,12558,13087,13664,13991,14723,14765,14841,15251,15183,15310,15727,16206,16710,17090,17511,18399
NUTS2,UKD7,Merseyside,D.61/D.62,Imputed social contributions/Social benefits received,2985,3035,3118,3271,3377,3514,3727,3872,3979,4182,4392,4651,5050,5172,5218,5479,5596,5504,5644,5645,5739,5828
NUTS2,UKD7,Merseyside,D.7,"Other current transfers, received",255,303,312,364,441,365,329,341,319,322,418,364,346,436,482,519,533,484,485,486,505,526
NUTS2,UKD7,Merseyside,NA,Secondary resources total,3239,3339,3430,3635,3818,3879,4056,4213,4298,4504,4810,5015,5396,5608,5700,5998,6130,5988,6129,6130,6244,6354
NUTS2,UKD7,Merseyside,D.5,"Current taxes on income, wealth etc",1242,1422,1502,1587,1679,1699,1776,1830,1941,2013,2190,2275,2145,2163,2146,2078,2097,2107,2188,2263,2370,2474
NUTS2,UKD7,Merseyside,D.61/D.62,Social contributions/Social benefits paid,2066,2073,2115,2334,2463,2671,2854,3101,3279,3358,3544,3527,3504,3794,3682,3683,3736,3783,3755,3921,3911,4135
NUTS2,UKD7,Merseyside,D.7,"Other current transfers, paid",315,374,382,439,522,465,450,480,469,473,561,527,540,657,671,663,713,672,678,698,715,715
NUTS2,UKD7,Merseyside,NA,Secondary uses total,3623,3869,3999,4360,4665,4836,5081,5410,5689,5844,6295,6329,6190,6614,6498,6424,6546,6562,6621,6882,6995,7324
NUTS2,UKD7,Merseyside,NA,Balance of secondary income,-384,-530,-569,-725,-847,-957,-1025,-1197,-1391,-1340,-1486,-1314,-794,-1006,-798,-426,-416,-573,-492,-751,-751,-969
NUTS2,UKD7,Merseyside,B.6g,Gross Disposable Income,9350,9513,9998,10516,10811,11192,11533,11891,12273,12651,13237,13450,14047,14245,14384,14884,15311,15633,16218,16339,16759,17430
NUTS3,UKD71,East Merseyside,B.2g,Operating surplus,1177,1206,1258,1355,1348,1346,1365,1441,1532,1565,1542,1580,1389,1362,1339,1373,1383,1476,1527,1596,1636,1632
NUTS3,UKD71,East Merseyside,B.3g,Mixed income,516,562,599,635,664,717,750,781,837,861,848,857,861,909,903,916,964,1047,1082,1102,1176,1246
NUTS3,UKD71,East Merseyside,D.1,Compensation of employees,5956,6182,6703,7111,7637,7909,8206,8766,9256,9744,10355,10552,10364,10522,10627,10771,11050,11172,11813,12269,12529,13116
NUTS3,UKD71,East Merseyside,D.4,"Property income, received",1628,1652,1547,1838,1803,1879,1779,2017,2322,2084,2516,2532,2132,2109,2100,1868,1852,2004,2129,2076,1807,2019
NUTS3,UKD71,East Merseyside,NA,Primary resources total,9278,9600,10106,10939,11454,11850,12099,13004,13947,14253,15262,15520,14746,14901,14970,14929,15248,15699,16550,17044,17148,18012
NUTS3,UKD71,East Merseyside,D.4,"Property income, paid",396,428,401,498,456,415,423,573,646,654,818,1003,278,220,263,240,197,240,265,273,205,272
NUTS3,UKD71,East Merseyside,NA,Primary uses total,396,428,401,498,456,415,423,573,646,654,818,1003,278,220,263,240,197,240,265,273,205,272
NUTS3,UKD71,East Merseyside,B.5g,Balance of primary incomes,8882,9172,9706,10441,10998,11435,11676,12431,13301,13599,14444,14517,14468,14681,14707,14688,15051,15459,16285,16770,16944,17740
NUTS3,UKD71,East Merseyside,D.61/D.62,Imputed social contributions/Social benefits received,2651,2667,2730,2985,3168,3265,3449,3618,3696,3887,4157,4457,4897,5006,5107,5316,5386,5314,5421,5460,5564,5647
NUTS3,UKD71,East Merseyside,D.7,"Other current transfers, received",250,297,309,364,431,365,329,344,322,323,420,368,348,442,490,528,542,492,497,497,527,548
NUTS3,UKD71,East Merseyside,NA,Secondary resources total,2901,2964,3039,3348,3599,3630,3778,3962,4018,4210,4576,4825,5245,5448,5597,5844,5928,5807,5917,5957,6091,6195
NUTS3,UKD71,East Merseyside,D.5,"Current taxes on income, wealth etc",1121,1281,1374,1440,1546,1542,1607,1719,1839,1968,2148,2268,2097,2081,2047,2010,1974,1980,2107,2256,2365,2457
NUTS3,UKD71,East Merseyside,D.61/D.62,Social contributions/Social benefits paid,2087,2092,2102,2288,2475,2710,2729,3060,3365,3332,3608,3567,3603,3755,3752,3613,3717,3727,3869,3956,3821,4026
NUTS3,UKD71,East Merseyside,D.7,"Other current transfers, paid",309,366,377,437,510,462,448,480,469,471,559,527,538,660,675,668,717,675,685,704,731,732
NUTS3,UKD71,East Merseyside,NA,Secondary uses total,3516,3739,3853,4165,4531,4714,4784,5259,5673,5771,6316,6362,6237,6495,6474,6291,6407,6382,6662,6917,6917,7215
NUTS3,UKD71,East Merseyside,NA,Balance of secondary income,-615,-775,-814,-817,-932,-1084,-1006,-1296,-1655,-1561,-1739,-1537,-992,-1047,-877,-446,-480,-575,-744,-960,-827,-1019
NUTS3,UKD71,East Merseyside,B.6g,Gross Disposable Income,8267,8397,8892,9624,10066,10351,10670,11135,11646,12038,12704,12980,13476,13634,13830,14242,14571,14884,15541,15811,16117,16720
NUTS3,UKD72,Liverpool,B.2g,Operating surplus,1064,1062,1153,1228,1291,1236,1222,1353,1400,1558,1566,1567,1451,1368,1366,1389,1358,1433,1465,1489,1487,1530
NUTS3,UKD72,Liverpool,B.3g,Mixed income,525,537,626,676,727,776,804,801,842,883,867,867,892,929,949,966,994,1048,1078,1093,1169,1253
NUTS3,UKD72,Liverpool,D.1,Compensation of employees,5704,5926,6420,6812,7091,7412,7860,8149,8462,9084,9523,9448,9424,9892,9927,10188,10633,10875,11163,11585,12103,12847
NUTS3,UKD72,Liverpool,D.4,"Property income, received",1588,1576,1548,1691,1606,1721,1726,1816,1922,2018,2309,2270,1737,1841,1795,1752,1703,1888,1991,1914,1791,1955
NUTS3,UKD72,Liverpool,NA,Primary resources total,8881,9101,9747,10407,10716,11145,11611,12119,12626,13543,14265,14152,13504,14030,14038,14295,14687,15244,15697,16080,16550,17585
NUTS3,UKD72,Liverpool,D.4,"Property income, paid",357,377,367,451,436,381,379,538,590,651,831,995,290,221,268,243,194,233,254,255,186,255
NUTS3,UKD72,Liverpool,NA,Primary uses total,357,377,367,451,436,381,379,538,590,651,831,995,290,221,268,243,194,233,254,255,186,255
NUTS3,UKD72,Liverpool,B.5g,Balance of primary incomes,8523,8724,9380,9956,10280,10764,11233,11581,12036,12892,13434,13157,13214,13809,13770,14052,14494,15012,15443,15826,16364,17330
NUTS3,UKD72,Liverpool,D.61/D.62,Imputed social contributions/Social benefits received,2971,3034,3121,3210,3417,3520,3655,3840,3872,4011,4167,4361,4664,4710,4711,4907,4966,4904,4981,4981,5031,5021
NUTS3,UKD72,Liverpool,D.7,"Other current transfers, received",220,258,268,311,377,311,280,291,271,279,362,314,297,362,401,443,452,415,414,415,434,457
NUTS3,UKD72,Liverpool,NA,Secondary resources total,3190,3292,3389,3520,3794,3831,3935,4131,4143,4290,4529,4675,4961,5072,5113,5351,5418,5319,5395,5396,5465,5478
NUTS3,UKD72,Liverpool,D.5,"Current taxes on income, wealth etc",1100,1272,1332,1400,1457,1467,1546,1590,1674,1766,1911,1924,1841,1903,1885,1822,1849,1882,1961,2009,2081,2198
NUTS3,UKD72,Liverpool,D.61/D.62,Social contributions/Social benefits paid,1870,1893,2032,2147,2153,2437,2681,2780,2954,3312,3434,3321,3188,3496,3352,3515,3525,3526,3432,3716,3867,4112
NUTS3,UKD72,Liverpool,D.7,"Other current transfers, paid",281,329,338,387,460,412,403,432,424,433,508,481,495,588,594,592,636,607,612,632,648,650
NUTS3,UKD72,Liverpool,NA,Secondary uses total,3250,3494,3703,3933,4070,4316,4630,4801,5052,5512,5854,5726,5524,5986,5831,5929,6010,6015,6005,6357,6596,6960
NUTS3,UKD72,Liverpool,NA,Balance of secondary income,-60,-202,-314,-413,-276,-485,-695,-671,-910,-1221,-1325,-1050,-563,-914,-719,-579,-592,-696,-610,-961,-1131,-1482
NUTS3,UKD72,Liverpool,B.6g,Gross Disposable Income,8464,8522,9066,9543,10004,10279,10538,10910,11126,11670,12109,12107,12651,12895,13051,13474,13902,14316,14833,14865,15233,15848
NUTS3,UKD73,Sefton,B.2g,Operating surplus,1721,1787,1875,1886,2004,2048,2098,2220,2220,2255,2239,2253,2053,2013,1998,2032,1948,2086,2139,2276,2284,2308
NUTS3,UKD73,Sefton,B.3g,Mixed income,861,908,882,898,936,1002,1054,1070,1141,1185,1163,1097,1176,1231,1251,1274,1311,1395,1437,1463,1567,1672
NUTS3,UKD73,Sefton,D.1,Compensation of employees,7065,7197,7614,8042,8451,8727,8981,9463,9846,9866,10455,10931,11130,11274,11282,11458,11861,11842,12014,12444,13197,13659
NUTS3,UKD73,Sefton,D.4,"Property income, received",2970,3200,2976,2806,2299,2259,2304,2622,2763,2739,2996,3069,2543,2595,2414,2306,2346,2588,2850,2592,2445,2622
NUTS3,UKD73,Sefton,NA,Primary resources total,12618,13093,13346,13632,13690,14036,14437,15374,15970,16045,16852,17350,16902,17113,16945,17070,17466,17911,18439,18774,19494,20262
NUTS3,UKD73,Sefton,D.4,"Property income, paid",578,635,597,693,677,631,650,883,936,943,1188,1430,410,326,392,356,278,338,371,389,285,385
NUTS3,UKD73,Sefton,NA,Primary uses total,578,635,597,693,677,631,650,883,936,943,1188,1430,410,326,392,356,278,338,371,389,285,385
NUTS3,UKD73,Sefton,B.5g,Balance of primary incomes,12040,12458,12749,12939,13013,13404,13787,14491,15033,15101,15664,15920,16492,16787,16553,16714,17188,17573,18068,18384,19208,19876
NUTS3,UKD73,Sefton,D.61/D.62,Imputed social contributions/Social benefits received,3050,3130,3205,3422,3370,3572,3852,3990,4253,4537,4731,4998,5437,5643,5760,6084,6328,6043,6417,6381,6547,6746
NUTS3,UKD73,Sefton,D.7,"Other current transfers, received",286,343,349,403,491,401,361,373,353,351,457,397,381,486,533,568,586,528,528,530,542,561
NUTS3,UKD73,Sefton,NA,Secondary resources total,3336,3473,3554,3825,3861,3973,4213,4363,4606,4889,5188,5395,5818,6130,6293,6651,6914,6571,6946,6911,7089,7307
NUTS3,UKD73,Sefton,D.5,"Current taxes on income, wealth etc",1450,1611,1692,1781,1842,1874,1909,1963,2127,2161,2300,2424,2337,2304,2320,2243,2260,2249,2287,2413,2565,2663
NUTS3,UKD73,Sefton,D.61/D.62,Social contributions/Social benefits paid,2154,2219,2181,2460,2671,2705,2926,3290,3321,3378,3505,3590,3774,4071,3837,3784,3922,3926,3991,3992,4173,4215
NUTS3,UKD73,Sefton,D.7,"Other current transfers, paid",349,415,420,479,573,501,483,513,504,504,602,562,578,710,724,714,769,719,725,745,756,754
NUTS3,UKD73,Sefton,NA,Secondary uses total,3953,4245,4293,4720,5086,5080,5319,5765,5952,6044,6407,6576,6689,7086,6882,6741,6950,6894,7004,7150,7494,7632
NUTS3,UKD73,Sefton,NA,Balance of secondary income,-617,-772,-739,-895,-1225,-1107,-1105,-1402,-1347,-1155,-1219,-1181,-871,-956,-588,-89,-36,-323,-58,-239,-405,-325
NUTS3,UKD73,Sefton,B.6g,Gross Disposable Income,11423,11686,12010,12043,11787,12297,12682,13089,13687,13947,14445,14739,15621,15831,15965,16625,17152,17249,18011,18146,18803,19551
NUTS3,UKD74,Wirral,B.2g,Operating surplus,1562,1618,1703,1796,1855,1880,1907,1972,2031,2077,2074,2117,1890,1832,1903,1980,1904,1994,2033,2147,2161,2201
NUTS3,UKD74,Wirral,B.3g,Mixed income,535,581,736,828,863,933,971,979,984,1031,1002,1038,1080,1113,1148,1161,1191,1234,1268,1290,1384,1481
NUTS3,UKD74,Wirral,D.1,Compensation of employees,6973,7402,7818,8439,9091,9522,10058,10242,10520,10393,11263,11636,11281,11679,11655,11724,12195,12415,12534,12731,13111,13821
NUTS3,UKD74,Wirral,D.4,"Property income, received",2050,1964,1796,2261,2130,2235,2235,2505,2632,2519,2910,2972,2408,2488,2397,2306,2225,2531,2557,2549,2228,2575
NUTS3,UKD74,Wirral,NA,Primary resources total,11121,11565,12052,13325,13940,14571,15170,15699,16168,16020,17249,17762,16659,17112,17103,17171,17515,18175,18393,18717,18883,20078
NUTS3,UKD74,Wirral,D.4,"Property income, paid",525,575,542,660,627,580,591,784,857,868,1100,1344,378,296,373,346,272,324,353,367,270,367
NUTS3,UKD74,Wirral,NA,Primary uses total,525,575,542,660,627,580,591,784,857,868,1100,1344,378,296,373,346,272,324,353,367,270,367
NUTS3,UKD74,Wirral,B.5g,Balance of primary incomes,10596,10990,11510,12665,13313,13991,14579,14914,15311,15151,16149,16418,16281,16815,16730,16824,17243,17851,18040,18349,18613,19711
NUTS3,UKD74,Wirral,D.61/D.62,Imputed social contributions/Social benefits received,3414,3473,3582,3625,3624,3804,4111,4171,4292,4535,4751,5036,5486,5669,5647,6029,6193,6197,6290,6282,6377,6539
NUTS3,UKD74,Wirral,D.7,"Other current transfers, received",283,340,346,407,499,411,369,382,355,355,463,403,384,491,543,577,596,536,537,538,551,571
NUTS3,UKD74,Wirral,NA,Secondary resources total,3697,3813,3929,4032,4123,4215,4480,4553,4647,4890,5213,5440,5870,6159,6190,6605,6789,6733,6828,6820,6928,7110
NUTS3,UKD74,Wirral,D.5,"Current taxes on income, wealth etc",1428,1667,1756,1886,2034,2094,2223,2210,2303,2303,2556,2660,2486,2533,2515,2408,2495,2495,2557,2529,2649,2759
NUTS3,UKD74,Wirral,D.61/D.62,Social contributions/Social benefits paid,2238,2171,2189,2548,2696,2918,3212,3446,3589,3443,3645,3711,3588,4042,3929,3940,3915,4120,3874,4121,3882,4256
NUTS3,UKD74,Wirral,D.7,"Other current transfers, paid",344,411,416,482,580,510,489,520,504,505,604,565,576,710,730,718,773,721,728,747,758,758
NUTS3,UKD74,Wirral,NA,Secondary uses total,4011,4249,4361,4916,5311,5522,5924,6176,6396,6250,6805,6935,6650,7285,7175,7066,7183,7336,7160,7398,7289,7773
NUTS3,UKD74,Wirral,NA,Balance of secondary income,-314,-436,-432,-884,-1188,-1307,-1444,-1623,-1749,-1360,-1592,-1496,-780,-1126,-984,-461,-394,-603,-332,-578,-361,-663
NUTS3,UKD74,Wirral,B.6g,Gross Disposable Income,10282,10554,11079,11781,12125,12684,13136,13291,13562,13791,14557,14923,15501,15690,15746,16364,16849,17248,17708,17772,18252,19048
NUTS1,UKE,Yorkshire and The Humber,B.2g,Operating surplus,1412,1472,1534,1585,1613,1607,1634,1653,1672,1653,1772,1763,1526,1455,1545,1619,1557,1619,1683,1768,1843,1928
NUTS1,UKE,Yorkshire and The Humber,B.3g,Mixed income,794,839,889,906,943,1012,1026,1037,1101,1161,1164,1155,1150,1187,1225,1257,1298,1382,1423,1411,1458,1514
NUTS1,UKE,Yorkshire and The Humber,D.1,Compensation of employees,6932,7343,7780,8223,8664,8965,9388,9812,10132,10624,11058,11125,10866,11009,11171,11292,11566,11745,11913,12219,12619,13121
NUTS1,UKE,Yorkshire and The Humber,D.4,"Property income, received",2300,2396,2291,2599,2419,2452,2397,2677,2929,2861,3275,3359,2673,2677,2569,2419,2450,2756,2883,2742,2554,2797
NUTS1,UKE,Yorkshire and The Humber,NA,Primary resources total,11439,12049,12494,13313,13638,14036,14446,15180,15833,16298,17269,17401,16216,16328,16511,16587,16871,17503,17901,18140,18474,19359
NUTS1,UKE,Yorkshire and The Humber,D.4,"Property income, paid",478,529,499,597,562,514,527,688,807,795,1021,1162,321,240,278,328,237,312,311,326,247,310
NUTS1,UKE,Yorkshire and The Humber,NA,Primary uses total,478,529,499,597,562,514,527,688,807,795,1021,1162,321,240,278,328,237,312,311,326,247,310
NUTS1,UKE,Yorkshire and The Humber,B.5g,Balance of primary incomes,10961,11520,11996,12715,13076,13522,13919,14492,15026,15504,16248,16239,15895,16088,16233,16259,16633,17191,17590,17815,18227,19049
NUTS1,UKE,Yorkshire and The Humber,D.61/D.62,Imputed social contributions/Social benefits received,2448,2498,2592,2755,2848,2997,3206,3351,3455,3659,3824,4043,4417,4622,4690,4927,4995,5015,5176,5200,5327,5410
NUTS1,UKE,Yorkshire and The Humber,D.7,"Other current transfers, received",292,365,364,425,415,409,374,400,372,384,471,427,407,520,571,600,629,549,556,547,584,595
NUTS1,UKE,Yorkshire and The Humber,NA,Secondary resources total,2740,2863,2956,3180,3263,3407,3579,3750,3827,4043,4296,4470,4825,5142,5261,5527,5624,5563,5732,5747,5910,6004
NUTS1,UKE,Yorkshire and The Humber,D.5,"Current taxes on income, wealth etc",1354,1584,1673,1765,1863,1893,1980,2080,2166,2262,2402,2469,2332,2282,2331,2252,2247,2256,2313,2354,2447,2540
NUTS1,UKE,Yorkshire and The Humber,D.61/D.62,Social contributions/Social benefits paid,2327,2415,2412,2644,2698,2903,3083,3320,3501,3661,3876,3827,3612,3944,3848,3799,3841,3989,3831,3992,3990,4069
NUTS1,UKE,Yorkshire and The Humber,D.7,"Other current transfers, paid",353,437,434,500,497,509,495,538,522,534,613,588,599,738,756,740,805,732,745,755,789,780
NUTS1,UKE,Yorkshire and The Humber,NA,Secondary uses total,4034,4436,4519,4909,5059,5304,5558,5938,6189,6457,6891,6884,6543,6964,6935,6791,6893,6977,6889,7101,7226,7389
NUTS1,UKE,Yorkshire and The Humber,NA,Balance of secondary income,-1294,-1573,-1563,-1729,-1796,-1898,-1979,-2188,-2362,-2414,-2595,-2413,-1718,-1822,-1675,-1264,-1269,-1414,-1157,-1354,-1315,-1385
NUTS1,UKE,Yorkshire and The Humber,B.6g,Gross Disposable Income,9666,9948,10433,10986,11280,11625,11940,12304,12664,13090,13653,13826,14177,14266,14558,14995,15364,15777,16433,16461,16912,17665
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,B.2g,Operating surplus,1352,1390,1455,1473,1460,1439,1447,1496,1517,1518,1641,1642,1436,1368,1443,1531,1470,1557,1612,1688,1791,1865
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,B.3g,Mixed income,786,790,818,825,847,893,876,888,948,995,1006,993,981,1021,1058,1104,1130,1205,1236,1232,1295,1344
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.1,Compensation of employees,6477,6897,7311,7739,8209,8557,9098,9567,9867,10321,10709,10816,10498,10664,10947,10952,11207,11315,11518,11906,12253,12762
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.4,"Property income, received",2082,2121,2193,2491,2288,2342,2263,2485,2700,2699,3113,3133,2468,2550,2512,2248,2262,2531,2613,2508,2292,2525
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,NA,Primary resources total,10698,11197,11777,12528,12803,13232,13685,14436,15032,15533,16469,16584,15384,15603,15961,15836,16069,16607,16979,17335,17631,18495
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.4,"Property income, paid",458,499,473,556,510,461,468,623,734,730,946,1083,302,226,260,310,225,300,298,312,241,300
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,NA,Primary uses total,458,499,473,556,510,461,468,623,734,730,946,1083,302,226,260,310,225,300,298,312,241,300
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,B.5g,Balance of primary incomes,10240,10698,11304,11972,12294,12771,13217,13813,14299,14802,15524,15502,15082,15377,15701,15525,15844,16307,16681,17024,17390,18195
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.61/D.62,Imputed social contributions/Social benefits received,2527,2586,2683,2856,2916,3058,3286,3444,3584,3817,3991,4229,4628,4791,4929,5096,5047,5044,5244,5279,5436,5557
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.7,"Other current transfers, received",287,357,358,419,412,408,372,399,371,382,471,427,407,520,576,605,633,554,564,556,598,610
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,NA,Secondary resources total,2814,2944,3041,3276,3329,3466,3658,3843,3955,4199,4463,4656,5035,5312,5505,5701,5680,5599,5808,5836,6034,6168
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.5,"Current taxes on income, wealth etc",1271,1471,1551,1645,1744,1782,1882,1979,2075,2168,2284,2379,2228,2182,2232,2133,2130,2120,2177,2204,2300,2431
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.61/D.62,Social contributions/Social benefits paid,2197,2257,2295,2547,2595,2771,2983,3219,3357,3606,3855,3805,3566,3896,3893,3689,3763,3852,3695,3922,3847,3903
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,D.7,"Other current transfers, paid",349,429,429,495,494,508,494,538,522,534,615,591,601,742,764,748,813,742,757,767,807,799
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,NA,Secondary uses total,3817,4157,4275,4686,4833,5061,5360,5737,5954,6307,6754,6775,6395,6820,6889,6571,6706,6713,6628,6893,6954,7132
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,NA,Balance of secondary income,-1002,-1213,-1234,-1411,-1504,-1595,-1702,-1894,-1999,-2108,-2291,-2119,-1360,-1509,-1384,-871,-1026,-1114,-820,-1058,-920,-965
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,B.6g,Gross Disposable Income,9238,9485,10070,10561,10790,11176,11515,11919,12300,12694,13232,13383,13722,13869,14317,14655,14818,15193,15861,15966,16469,17230
NUTS3,UKE11,"Kingston upon Hull, City of",B.2g,Operating surplus,821,859,919,931,895,828,817,798,843,930,1051,1061,898,872,934,983,967,1022,1061,1121,1233,1250
NUTS3,UKE11,"Kingston upon Hull, City of",B.3g,Mixed income,409,414,489,545,586,653,603,578,622,668,687,667,647,687,723,744,796,870,910,921,989,1030
NUTS3,UKE11,"Kingston upon Hull, City of",D.1,Compensation of employees,5785,6230,6751,7368,7770,7921,8185,8489,8806,8982,9180,9344,9122,9453,9749,9745,10005,10303,10345,10761,10980,11417
NUTS3,UKE11,"Kingston upon Hull, City of",D.4,"Property income, received",1414,1492,1376,1734,1691,1782,1597,1869,1999,1857,1979,2114,1784,1808,1715,1564,1611,1831,1687,1732,1600,1730
NUTS3,UKE11,"Kingston upon Hull, City of",NA,Primary resources total,8428,8994,9534,10578,10943,11183,11201,11734,12270,12437,12897,13186,12450,12822,13121,13037,13379,14027,14003,14535,14801,15427
NUTS3,UKE11,"Kingston upon Hull, City of",D.4,"Property income, paid",278,308,299,351,312,265,263,331,407,447,605,699,188,144,168,199,147,196,196,206,165,200
NUTS3,UKE11,"Kingston upon Hull, City of",NA,Primary uses total,278,308,299,351,312,265,263,331,407,447,605,699,188,144,168,199,147,196,196,206,165,200
NUTS3,UKE11,"Kingston upon Hull, City of",B.5g,Balance of primary incomes,8150,8686,9236,10227,10631,10919,10938,11403,11863,11990,12292,12487,12261,12678,12953,12838,13232,13830,13807,14329,14636,15227
NUTS3,UKE11,"Kingston upon Hull, City of",D.61/D.62,Imputed social contributions/Social benefits received,2277,2325,2412,2647,2838,2962,3131,3232,3311,3416,3517,3807,4292,4356,4356,4512,4433,4395,4561,4511,4553,4547
NUTS3,UKE11,"Kingston upon Hull, City of",D.7,"Other current transfers, received",222,273,280,326,325,320,291,308,288,301,376,341,320,400,451,490,508,455,463,457,503,518
NUTS3,UKE11,"Kingston upon Hull, City of",NA,Secondary resources total,2500,2597,2691,2973,3163,3282,3422,3540,3599,3717,3893,4147,4612,4755,4808,5002,4941,4849,5024,4969,5056,5064
NUTS3,UKE11,"Kingston upon Hull, City of",D.5,"Current taxes on income, wealth etc",1042,1194,1301,1422,1478,1462,1530,1558,1617,1618,1705,1775,1649,1637,1660,1580,1544,1571,1595,1615,1640,1720
NUTS3,UKE11,"Kingston upon Hull, City of",D.61/D.62,Social contributions/Social benefits paid,1894,2056,2070,2370,2445,2568,2628,2971,3217,3355,3289,3383,3237,3604,3519,3369,3511,3619,3329,3610,3684,3839
NUTS3,UKE11,"Kingston upon Hull, City of",D.7,"Other current transfers, paid",282,342,348,400,405,419,411,446,438,451,518,502,512,619,637,630,683,637,651,662,706,699
NUTS3,UKE11,"Kingston upon Hull, City of",NA,Secondary uses total,3218,3592,3719,4191,4327,4448,4570,4976,5272,5424,5512,5660,5399,5861,5817,5580,5738,5827,5574,5887,6029,6259
NUTS3,UKE11,"Kingston upon Hull, City of",NA,Balance of secondary income,-718,-995,-1027,-1218,-1164,-1166,-1148,-1436,-1673,-1707,-1619,-1513,-787,-1105,-1009,-577,-797,-978,-550,-919,-973,-1195
NUTS3,UKE11,"Kingston upon Hull, City of",B.6g,Gross Disposable Income,7432,7691,8208,9009,9466,9752,9791,9967,10190,10284,10673,10974,11474,11573,11944,12261,12434,12852,13257,13410,13663,14032
NUTS3,UKE12,East Riding of Yorkshire,B.2g,Operating surplus,1866,1890,1934,1968,1962,2011,2079,2173,2138,2065,2192,2170,1867,1762,1868,2000,1915,2024,2102,2224,2356,2479
NUTS3,UKE12,East Riding of Yorkshire,B.3g,Mixed income,1147,1154,1126,1118,1133,1184,1183,1220,1313,1363,1368,1348,1332,1370,1417,1501,1497,1578,1622,1611,1679,1741
NUTS3,UKE12,East Riding of Yorkshire,D.1,Compensation of employees,6872,7218,7624,7956,8468,9088,9838,10468,10922,11521,11868,11998,11723,11816,12010,11977,12156,12151,12561,12973,13447,14115
NUTS3,UKE12,East Riding of Yorkshire,D.4,"Property income, received",2615,2642,3091,3184,2801,2806,2647,2980,3362,3436,3972,3991,3046,3211,3209,2976,2975,3271,3607,3286,3003,3445
NUTS3,UKE12,East Riding of Yorkshire,NA,Primary resources total,12499,12904,13776,14226,14365,15088,15746,16841,17735,18385,19399,19507,17969,18159,18504,18454,18543,19023,19891,20094,20485,21781
NUTS3,UKE12,East Riding of Yorkshire,D.4,"Property income, paid",632,680,630,743,686,644,672,905,1034,994,1263,1431,393,291,337,406,293,390,389,411,318,401
NUTS3,UKE12,East Riding of Yorkshire,NA,Primary uses total,632,680,630,743,686,644,672,905,1034,994,1263,1431,393,291,337,406,293,390,389,411,318,401
